accidentDate;accidentTime;accidentDay;settlementType;settlement;district;streetType;streetName;houseNumber;locationComments;accidentType;mainAccidentCause;totalParticipantsAmount;injuryStatusParticipant1;injuryStatusParticipant2;injuryStatusParticipant3;injuryStatusParticipant4;injuryStatusParticipant5;injuryStatusParticipant6;latitude;longitude
2023-08-28;18:18:00;понеділок;місто;Львів;Личаківський;вулиця;Іванова гора;3;null;перекидання тз;перевищення безпечної швидкості, керування транспортним засобом у нетверезому стані;2;легко травмований;тяжко травмований;null;null;null;null;49.842957;24.083405
2023-07-27;14:56:00;четвер;місто;Львів;Личаківський;вулиця;Личаківська;null;"вул. Личаківська - вул. Бобанича Т. ""Хаммера""";падіння пасажира;порушення правил проїзду перехресть;3;без ушкоджень;без ушкоджень;легко травмований;null;null;null;49.839813;24.039235
2023-07-31;19:20:00;понеділок;місто;Львів;Сихівський;вулиця;Стрийська;109;null;зіткнення бокове;порушення правил маневрування;3;без ушкоджень;без ушкоджень;легко травмований;null;null;null;49.787093;24.014858
2023-08-01;12:40:00;вівторок;місто;Львів;Шевченківський;вулиця;Шевченка Т.;264;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.861469;23.966896
2023-08-28;23:25:00;понеділок;місто;Львів;Сихівський;проспект;Червоної Калини, просп.;52;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.796243;24.052033
2023-08-13;19:32:00;неділя;місто;Львів;Франківський;вулиця;Володимира Великого;52;null;наїзд на пішохода - на нерегульованому пішохідному переході;невиконання вимог сигналів регулювання;4;без ушкоджень;легко травмований;легко травмований;легко травмований;null;null;49.811529;23.989141
2023-08-07;23:40:00;понеділок;місто;Львів;Франківський;вулиця;Наукова;112;null;наїзд на інші види перешкод;порушення правил маневрування;5;без ушкоджень;без ушкоджень;без ушкоджень;легко травмований;легко травмований;null;49.805294;23.985552
2023-08-27;21:06:00;неділя;селище;Брюховичі;Шевченківський;вулиця;Курортна;null;null;зіткнення з задньою частиною тз;керування транспортним засобом у нетверезому стані, недодержання дистанції;6;без ушкоджень;без ушкоджень;без ушкоджень;легко травмований;легко травмований;легко травмований;49.907038;23.949318
2023-08-01;8:55:00;вівторок;місто;Львів;Франківський;вулиця;Кульпарківська;11;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.833485;23.990669
2023-08-02;21:30:00;середа;місто;Львів;Галицький;вулиця;Вітовського Д.;20;null;наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу;неочікуваний вихід на проїзну частину;2;без ушкоджень;легко травмований;null;null;null;null;49.829713;24.027872
2023-08-24;19:25:00;четвер;місто;Львів;Залізничний;вулиця;Кульпарківська;200а;null;наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці;порушення правил маневрування, перевищення безпечної швидкості;2;без ушкоджень;легко травмований;null;null;null;null;49.811342;23.983219
2023-08-18;21:25:00;п'ятниця;місто;Львів;Личаківський;вулиця;Польова;29;null;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.857398;24.063765
2023-07-31;20:40:00;понеділок;місто;Львів;Галицький;вулиця;Городоцька;87;null;наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.8392;24.00983
