accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,latitude,longitude
2022-09-07,16:53:00,середа,місто,Львів,Залізничний,вулиця,Городоцька,162,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.831869,23.975124
2022-08-28,20:30:00,неділя,місто,Львів,Шевченківський,вулиця,Шевченка Т.,134а,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.852622,23.992145
2022-08-29,10:05:00,понеділок,місто,Львів,Шевченківський,вулиця,Промислова,11,null,наїзд на пішохода - пішохід на зупинці громадського транспорту,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.854472,24.040715
2022-09-06,8:03:00,вівторок,місто,Львів,Франківський,вулиця,Пулюя І.,20,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.802406,23.985466
2022-09-09,16:30:00,п'ятниця,місто,Львів,Личаківський,вулиця,Богданівська,1,null,наїзд на інші види перешкод,перевищення безпечної швидкості,3,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.845618,24.084789
2022-08-18,16:57:00,четвер,місто,Дубляни,Шевченківський,вулиця,Володимира Великого,25,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.891801,24.090464
2022-09-01,16:01:00,четвер,місто,Львів,Личаківський,вулиця,Пасічна,5,null,падіння пасажира,недодержання дистанції,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.835132,24.068223
2022-08-27,19:40:00,субота,місто,Львів,Шевченківський,вулиця,Єрошенка В.,27,null,зіткнення бокове,недодержання дистанції,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.852762,24.003223
2022-08-19,13:40:00,п'ятниця,місто,Львів,Сихівський,вулиця,Зелена,131,null,падіння пасажира,порушення правил перевезення пасажирів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.817552,24.059832
2022-08-06,19:34:00,субота,місто,Львів,Франківський,вулиця,Рубчака І.,8,null,наїзд на пішохода - на нерегульованому пішохідному переході,перевищення безпечної швидкості,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.805768,24.014531
2022-09-09,16:19:00,п'ятниця,місто,Львів,Залізничний,вулиця,Любінська,92,null,наїзд на пішохода - на регульованому пішохідному переході,перевищення безпечної швидкості,2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,null,null,null,null,49.824966,23.978857
2022-08-31,9:33:00,середа,місто,Львів,Галицький,вулиця,Городоцька,91,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.839093,24.0093
